message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:01.312065422Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190005607Z
,info,"{""level"":""info""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190018367Z
node:internal/modules/cjs/loader:1386,error,"{""level"":""error""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190026620Z
,info,"{""level"":""info""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190029375Z
> prs-sor-bot@1.0.0 start,info,"{""level"":""info""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190032718Z
  throw err;,error,"{""level"":""error""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190035917Z
,error,"{""level"":""error""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190042241Z
    at wrapModuleLoad (node:internal/modules/cjs/loader:237:24),error,"{""level"":""error""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190043788Z
> node server.js,info,"{""level"":""info""}","{""project"":""eb8a974a-cd68-4711-a015-cb65bcae5329"",""environment"":""79190613-21da-46b3-ab97-fe7f92da59db"",""service"":""6e144932-d9b9-406e-b6fa-b948cc653bb5"",""deployment"":""418dc926-ba67-4ef9-a054-4e0b1813633c"",""replica"":""47bb245d-d655-4ba6-994e-1cf669707eb4""}",2026-03-22T20:34:02.190045119Z
